pid,BQ1,BQ2,BQ3,BQ3_n2,BQ4,BQ8,BQ5,BQ5_1,BQ5_2,BQ5_3,BQ6,BQ7,BQ7_1,BQ7_2,BQ9,BQ12_1,BQ12_2,BQ12_3,BQ13,BQ14,BQ14_1,BQ15_1,BQ15_2,BQ15_3,BQ15_4,BQ16_1,BQ16_2,BQ16_3,BQ16_4
67594,경북,여자,40,만40세~만49세,대학 졸업,개신교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,있다,4명,300만원 이상 400만원 미만,5천만원~1억원 미만,중간층,4,정의당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2.5,2,2
76259,경남,남자,45,만40세~만49세,대학 졸업,믿는 종교가 없다,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,3명,300만원 이상 400만원 미만,5천만원 미만,최하층,2,정의당,NA,5천원으로 줄임,5천원으로 줄임,5천원으로 줄임,1만원 그대로,3,2,2,2
79159,강원,남자,71,만60세 이상,고등학교 졸업,천주교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,300만원 이상 400만원 미만,1억원~2억원 미만,중하층,7,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,모르겠다,1만원 그대로,3,2,2,2
79472,전북,남자,44,만40세~만49세,고등학교 졸업,천주교,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,4명,200만원 이상 300만원 미만,5천만원~1억원 미만,중하층,7,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,5만원으로 늘림,1만원 그대로,3,3,3,3
84109,강원,남자,67,만60세 이상,고등학교 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,100만원 이상 200만원 미만,5천만원 미만,최하층,5 중도,더불어민주당,NA,1만원 그대로,1만원 그대로,5천원으로 줄임,1만원 그대로,2,2,2,2
96430,부산,남자,47,만40세~만49세,대학 졸업,불교,"경영 관리직(5급 이상 공무원, 기업체 부장 이상 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,없다,NA,NA,2명,500만원 이상 600만원 미만,2억원~3억원 미만,중간층,4,더불어민주당,NA,5만원으로 늘림,5만원으로 늘림,5만원으로 늘림,5만원으로 늘림,2,2,2,2
102462,충남,여자,67,만60세 이상,고등학교 졸업,천주교,"판매/영업/서비스직(상점 점원, 세일즈맨 등)",무급가족종사자,NA,NA,사별,있다,없다,없다,혼자 살고 있다,100만원 이상 200만원 미만,5천만원 미만,최하층,2,더불어민주당,NA,모르겠다,5천원으로 줄임,1만원 그대로,1만원 그대로,3,2,3,2
104798,서울,여자,72,만60세 이상,고등학교 졸업,믿는 종교가 없다,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,혼자 살고 있다,200만원 이상 300만원 미만,3억원~4억원 미만,중하층,5 중도,더불어민주당,NA,모르겠다,모르겠다,모르겠다,모르겠다,3,4,2,2
116354,강원,남자,52,만50세~만59세,고등학교 졸업,믿는 종교가 없다,"자영업자(상업, 종업원 9인 이하의 소규모 장사 및 개인 택시 운전 등)",고용원이 있는 자영업자,NA,NA,배우자 있음,있다,없다,없다,3명,400만원 이상 500만원 미만,2억원~3억원 미만,중하층,3,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,3,2
117340,대전,남자,59,만50세~만59세,대학 졸업,믿는 종교가 없다,다른 직업,임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,4명,500만원 이상 600만원 미만,5천만원 미만,중하층,1,열린민주당,NA,모르겠다,1만원 그대로,모르겠다,1만원 그대로,4,4,3,3
121907,경남,여자,29,만18세~만29세,대학 졸업,천주교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,미혼,없다,NA,NA,2명,200만원 이상 300만원 미만,5천만원~1억원 미만,중하층,3,지지하는 정당이 없음,더불어민주당,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,3,2,3,2
121969,경북,여자,56,만50세~만59세,고등학교 졸업,개신교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,300만원 이상 400만원 미만,1억원~2억원 미만,중하층,9,지지하는 정당이 없음,지지하는 정당이 없음,5만원으로 늘림,5천원으로 줄임,5만원으로 늘림,1만원 그대로,3,3,3,2
124783,경기,여자,35,만30세~만39세,대학 졸업,믿는 종교가 없다,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,있다,없다,3명,400만원 이상 500만원 미만,5천만원 미만,중하층,1,더불어민주당,NA,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,2,3,3,2
124804,서울,여자,52,만50세~만59세,고등학교 졸업,믿는 종교가 없다,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,2명,100만원 이상 200만원 미만,5천만원 미만,최하층,0 매우 진보,더불어시민당,NA,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,3,4,1,4
125620,인천,여자,52,만50세~만59세,고등학교 졸업,믿는 종교가 없다,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,3명,300만원 이상 400만원 미만,5천만원 미만,중하층,5 중도,지지하는 정당이 없음,모르겠다,5천원으로 줄임,5천원으로 줄임,5천원으로 줄임,5천원으로 줄임,2,2,2,2
125833,경기,남자,79,만60세 이상,대학 졸업,천주교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,사별,있다,없다,없다,혼자 살고 있다,100만원 미만,5천만원 미만,모르겠다,9,정의당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,4,4,4,3
126443,경남,남자,40,만40세~만49세,대학 졸업,불교,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,있다,없다,4명,400만원 이상 500만원 미만,1억원~2억원 미만,중하층,2,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,3,2,3
128913,서울,여자,44,만40세~만49세,고등학교 졸업,믿는 종교가 없다,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,3명,1천만원 이상 1천 5백만원 미만,4억원~7억원 미만,중하층,3,더불어민주당,NA,모르겠다,1만원 그대로,1만원 그대로,1만원 그대로,2,3,3,2
130930,경기,남자,47,만40세~만49세,고등학교 졸업,개신교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,3명,200만원 이상 300만원 미만,5천만원 미만,중하층,3,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,1,2,3,2
132956,경남,여자,42,만40세~만49세,대학 졸업,개신교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,있다,있다,4명,200만원 이상 300만원 미만,5천만원 미만,중간층,7,더불어민주당,NA,모르겠다,1만원 그대로,5만원으로 늘림,1만원 그대로,2,2.5,2,3
138023,경기,여자,59,만50세~만59세,고등학교 졸업,불교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,3명,400만원 이상 500만원 미만,5천만원 미만,중하층,6,미래통합당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
138465,부산,남자,71,만60세 이상,고등학교 졸업,믿는 종교가 없다,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,임시근로자 (계약기간 1개월 이상 1년 미만),비정규직,배우자 있음,있다,없다,없다,2명,300만원 이상 400만원 미만,4억원~7억원 미만,중하층,6,미래통합당,NA,5만원으로 늘림,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,1
138850,경기,남자,39,만30세~만39세,고등학교 졸업,믿는 종교가 없다,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,미혼,없다,NA,NA,혼자 살고 있다,400만원 이상 500만원 미만,1억원~2억원 미만,중하층,3,더불어민주당,NA,5천원으로 줄임,5천원으로 줄임,5천원으로 줄임,5천원으로 줄임,4,3,3,3
139049,서울,남자,61,만60세 이상,고등학교 졸업,불교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,3명,200만원 이상 300만원 미만,5천만원 미만,중간층,8,미래통합당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,3,2
139489,서울,남자,48,만40세~만49세,고등학교 졸업,믿는 종교가 없다,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,3명,300만원 이상 400만원 미만,5천만원 미만,중하층,4,정의당,NA,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,2,2,2,2
139805,대구,남자,49,만40세~만49세,대학 졸업,믿는 종교가 없다,"경영 관리직(5급 이상 공무원, 기업체 부장 이상 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,4명,1천만원 이상 1천 5백만원 미만,10억원 이상,중간층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,2.5,2.5,2.5
140068,강원,여자,61,만60세 이상,대학 졸업,불교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,200만원 이상 300만원 미만,5천만원~1억원 미만,중하층,4,모르겠다,더불어시민당,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,3,2,2,2
141174,경기,여자,46,만40세~만49세,고등학교 졸업,믿는 종교가 없다,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,4명,700만원 이상 1천만원 미만,2억원~3억원 미만,중하층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,3,2
143583,서울,남자,48,만40세~만49세,고등학교 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,미혼,없다,NA,NA,3명,100만원 미만,5천만원 미만,최하층,4,지지하는 정당이 없음,지지하는 정당이 없음,모르겠다,모르겠다,모르겠다,모르겠다,2,3,3,2.5
144535,충북,남자,69,만60세 이상,대학원 졸업,불교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,400만원 이상 500만원 미만,2억원~3억원 미만,중하층,8,더불어민주당,NA,5만원으로 늘림,1만원 그대로,1만원 그대로,1만원 그대로,2,1,2,2
144582,경남,남자,58,만50세~만59세,고등학교 졸업,믿는 종교가 없다,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,이혼,있다,없다,없다,혼자 살고 있다,200만원 이상 300만원 미만,5천만원~1억원 미만,최하층,모르겠다,지지하는 정당이 없음,더불어민주당,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,3,3,2
144624,충남,남자,65,만60세 이상,대학원 졸업,천주교,다른 직업,임금근로자,임시근로자 (계약기간 1개월 이상 1년 미만),비정규직,배우자 있음,있다,없다,없다,2명,300만원 이상 400만원 미만,3억원~4억원 미만,중간층,5 중도,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,3,3,2
144672,경남,남자,63,만60세 이상,고등학교 졸업,불교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,100만원 이상 200만원 미만,5천만원~1억원 미만,중하층,4,지지하는 정당이 없음,더불어민주당,모르겠다,모르겠다,5만원으로 늘림,모르겠다,3,2,3,2
146163,서울,남자,69,만60세 이상,고등학교 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,200만원 이상 300만원 미만,7억원~10억원 미만,중간층,9,미래통합당,NA,1만원 그대로,1만원 그대로,1만원 그대로,모르겠다,2,2,2,2
146543,경북,여자,64,만60세 이상,고등학교 졸업,개신교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,2명,200만원 이상 300만원 미만,1억원~2억원 미만,중하층,8,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,3,2,2,2
147253,울산,남자,62,만60세 이상,대학 졸업,믿는 종교가 없다,"판매/영업/서비스직(상점 점원, 세일즈맨 등)",임금근로자,상용근로자 (계약기간 1년 이상),비정규직,배우자 있음,있다,없다,없다,4명,300만원 이상 400만원 미만,5천만원 미만,중하층,2,더불어민주당,NA,모르겠다,1만원 그대로,1만원 그대로,1만원 그대로,2,2,3,2
148783,충남,여자,66,만60세 이상,고등학교 졸업,믿는 종교가 없다,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,2명,100만원 미만,5천만원 미만,최하층,4,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,모르겠다,1만원 그대로,2.5,3,3,2
149179,경기,여자,52,만50세~만59세,대학 졸업,개신교,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,4명,500만원 이상 600만원 미만,5천만원~1억원 미만,중하층,5 중도,더불어민주당,NA,5천원으로 줄임,1만원 그대로,5천원으로 줄임,5천원으로 줄임,2,3,3,4
149451,대구,여자,61,만60세 이상,고등학교 졸업,천주교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,3명,500만원 이상 600만원 미만,2억원~3억원 미만,중하층,7,미래통합당,NA,모르겠다,모르겠다,모르겠다,모르겠다,2,2,2,2
150909,광주,여자,59,만50세~만59세,대학 졸업,개신교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,2명,700만원 이상 1천만원 미만,7억원~10억원 미만,중상층,1,지지하는 정당이 없음,더불어민주당,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,4,4,4,4
153537,서울,여자,67,만60세 이상,고등학교 졸업,천주교,다른 직업,임금근로자,임시근로자 (계약기간 1개월 이상 1년 미만),비정규직,사별,있다,없다,없다,3명,200만원 이상 300만원 미만,5천만원~1억원 미만,최하층,5 중도,지지하는 정당이 없음,미래통합당,1만원 그대로,5천원으로 줄임,5천원으로 줄임,5천원으로 줄임,3,2,2,2
155836,서울,남자,66,만60세 이상,고등학교 졸업,천주교,"자영업자(상업, 종업원 9인 이하의 소규모 장사 및 개인 택시 운전 등)",고용원이 없는 자영업자,NA,NA,배우자 있음,있다,없다,있다,3명,600만원 이상 700만원 미만,4억원~7억원 미만,중간층,6,지지하는 정당이 없음,민생당,모르겠다,1만원 그대로,모르겠다,1만원 그대로,2,2,2,2
156584,전남,남자,73,만60세 이상,대학 졸업,천주교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,400만원 이상 500만원 미만,4억원~7억원 미만,중간층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,3,3,3
156634,충남,남자,64,만60세 이상,대학원 졸업,천주교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,미혼,없다,NA,NA,2명,700만원 이상 1천만원 미만,10억원 이상,중상층,10 매우 보수,미래통합당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
156646,경기,남자,61,만60세 이상,고등학교 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,4명,2천만원 이상,7억원~10억원 미만,중간층,4,더불어민주당,NA,5만원으로 늘림,1만원 그대로,5만원으로 늘림,5만원으로 늘림,1,2,2,1
156693,전남,남자,66,만60세 이상,고등학교 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,200만원 이상 300만원 미만,1억원~2억원 미만,중하층,5 중도,지지하는 정당이 없음,더불어민주당,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,3,2
156715,경기,남자,65,만60세 이상,대학원 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,5명 이상,400만원 이상 500만원 미만,7억원~10억원 미만,중하층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,5만원으로 늘림,1만원 그대로,5만원으로 늘림,5만원으로 늘림,3,2,3,2
156755,대전,남자,61,만60세 이상,대학원 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,3명,500만원 이상 600만원 미만,2억원~3억원 미만,중하층,1,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,3,3,2
156808,부산,남자,71,만60세 이상,고등학교 졸업,믿는 종교가 없다,"자영업자(상업, 종업원 9인 이하의 소규모 장사 및 개인 택시 운전 등)",고용원이 없는 자영업자,NA,NA,배우자 있음,있다,없다,없다,3명,500만원 이상 600만원 미만,10억원 이상,중상층,2,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,3,3,3
157311,충남,남자,61,만60세 이상,고등학교 졸업,불교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,있다,3명,100만원 이상 200만원 미만,3억원~4억원 미만,중하층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,5천원으로 줄임,1만원 그대로,1만원 그대로,2.5,2.5,3,2
157421,부산,여자,65,만60세 이상,고등학교 졸업,불교,전업주부 (일하지 않고 가사에만 종사),NA,NA,NA,배우자 있음,있다,없다,없다,3명,100만원 이상 200만원 미만,2억원~3억원 미만,중하층,4,더불어민주당,NA,1만원 그대로,모르겠다,모르겠다,1만원 그대로,2,2,2,2
157441,서울,남자,62,만60세 이상,고등학교 졸업,믿는 종교가 없다,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),비정규직,배우자 있음,있다,없다,없다,3명,300만원 이상 400만원 미만,7억원~10억원 미만,중간층,7,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
157475,강원,남자,65,만60세 이상,고등학교 졸업,천주교,"판매/영업/서비스직(상점 점원, 세일즈맨 등)",임금근로자,상용근로자 (계약기간 1년 이상),비정규직,배우자 있음,있다,없다,없다,2명,200만원 이상 300만원 미만,1억원~2억원 미만,중하층,5 중도,지지하는 정당이 없음,모르겠다,1만원 그대로,1만원 그대로,모르겠다,모르겠다,3,3,3,3
157722,경남,남자,70,만60세 이상,고등학교 졸업,불교,다른 직업,임금근로자,임시근로자 (계약기간 1개월 이상 1년 미만),비정규직,배우자 있음,있다,없다,없다,2명,100만원 이상 200만원 미만,5천만원 미만,최하층,6,지지하는 정당이 없음,지지하는 정당이 없음,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,1,2,1
157794,경기,여자,34,만30세~만39세,대학 졸업,개신교,"판매/영업/서비스직(상점 점원, 세일즈맨 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,미혼,없다,NA,NA,2명,200만원 이상 300만원 미만,5천만원 미만,중하층,7,국민의당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,3,2
157796,경기,여자,38,만30세~만39세,대학 졸업,믿는 종교가 없다,"전문직(의사, 법조인, 교수, 언론인 등)",고용원이 있는 자영업자,NA,NA,배우자 있음,있다,없다,있다,4명,600만원 이상 700만원 미만,2억원~3억원 미만,중하층,5 중도,더불어민주당,NA,모르겠다,모르겠다,모르겠다,모르겠다,2.5,2.5,2.5,2.5
157986,경기,남자,55,만50세~만59세,대학원 졸업,천주교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,3명,500만원 이상 600만원 미만,10억원 이상,중간층,2,더불어민주당,NA,5만원으로 늘림,1만원 그대로,모르겠다,1만원 그대로,3,2,2,2
158224,서울,남자,52,만50세~만59세,고등학교 졸업,개신교,"노무/기계조작/운송/기능원 및 관련 기능 종사자(운전사, 선반, 목공 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,있다,4명,300만원 이상 400만원 미만,5천만원 미만,중하층,3,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,2,3,3,2
158910,경기,남자,70,만60세 이상,대학 졸업,개신교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,100만원 이상 200만원 미만,5천만원 미만,최하층,2,더불어민주당,NA,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,3,2,2,2
159533,서울,여자,46,만40세~만49세,대학 졸업,믿는 종교가 없다,농림어업 종사자,무급가족종사자,NA,NA,미혼,없다,NA,NA,혼자 살고 있다,100만원 이상 200만원 미만,5천만원~1억원 미만,중하층,5 중도,지지하는 정당이 없음,모르겠다,1만원 그대로,모르겠다,모르겠다,모르겠다,2,3,2,2
159617,경기,남자,64,만60세 이상,대학 졸업,천주교,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,배우자 있음,있다,없다,없다,2명,500만원 이상 600만원 미만,5천만원 미만,중하층,5 중도,지지하는 정당이 없음,미래한국당,1만원 그대로,1만원 그대로,1만원 그대로,1만원 그대로,4,4,4,2
159825,경기,여자,70,만60세 이상,고등학교 졸업,개신교,"사무직(기업체 차장 이하, 5급 공무원 이하 등)",임금근로자,상용근로자 (계약기간 1년 이상),정규직,배우자 있음,있다,없다,없다,2명,400만원 이상 500만원 미만,4억원~7억원 미만,중간층,5 중도,지지하는 정당이 없음,지지하는 정당이 없음,5천원으로 줄임,1만원 그대로,1만원 그대로,1만원 그대로,2,2,2,2
160198,경남,남자,80,만60세 이상,고등학교 졸업,믿는 종교가 없다,"무직, 퇴직, 은퇴 (현재 일하지 않음)",NA,NA,NA,이혼,있다,없다,없다,혼자 살고 있다,100만원 이상 200만원 미만,5천만원~1억원 미만,중하층,6,미래통합당,NA,모르겠다,모르겠다,모르겠다,모르겠다,2,2,2,1
